"06501: Inntekter, gjeld, bruttoformue og utlignet skatt for personlige skogeiere og deres ektefelle/samboer (1 000 kr), etter statistikkvariabel, region og år"

"statistikkvariabel";"region";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Personinntekt lønn og pensjon";"01 Østfold (-2019)";1835269;1907546;2069709;2257429;2343276;2432270;2407473;2570674;2879461;3012244;3056191;3124302;3161992;3264033;3370375;0;0
"Personinntekt lønn og pensjon";"02-03 Oslo og Akershus (-2019)";4170512;4366970;4767136;5343309;5408458;5798670;5718445;6499459;7253773;7642713;7998739;8080948;8218057;8442231;8725674;0;0
"Personinntekt lønn og pensjon";"06 Buskerud (-2019)";2562167;2712625;2945098;3193563;3293889;3393362;3445566;3707164;4148743;4346352;4468393;4592012;4611919;4775241;4945943;0;0
"Personinntekt lønn og pensjon";"34 Innlandet";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10979319;11394948
"Personinntekt lønn og pensjon";"04 Hedmark (-2019)";3147129;3235175;3484341;3817684;4001920;4107608;4004513;4231508;4766386;4929591;5025946;5079286;5031604;5229134;5341140;0;0
"Personinntekt lønn og pensjon";"05 Oppland (-2019)";2981011;3113712;3396936;3744386;3927497;4054234;4073504;4365003;4894735;5091513;5216076;5350739;5325614;5500312;5663039;0;0
"Personinntekt lønn og pensjon";"38 Vestfold og Telemark";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6812758;7060074
"Personinntekt lønn og pensjon";"07 Vestfold (-2019)";1446880;1542464;1667056;1839859;1882832;1957777;1972314;2103040;2335311;2431522;2474406;2531625;2587755;2670555;2750971;0;0
"Personinntekt lønn og pensjon";"08 Telemark (-2019)";2166793;2192567;2425648;2667477;2780918;2888008;2888982;3084428;3475354;3622938;3695194;3765005;3831287;3959354;4059418;0;0
"Personinntekt lønn og pensjon";"42 Agder";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6962069;7219567
"Personinntekt lønn og pensjon";"09 Aust-Agder (-2019)";1370719;1426391;1556482;1743466;1819256;1877545;1913350;2108037;2363208;2476487;2522175;2523581;2622595;2663759;2741306;0;0
"Personinntekt lønn og pensjon";"10 Vest-Agder (-2019)";1888008;1944760;2097542;2428036;2510065;2700965;2787717;3059147;3499345;3620526;3661071;3710752;3836891;3973093;4108260;0;0
"Personinntekt lønn og pensjon";"11 Rogaland";1648356;1765747;1944419;2335428;2459198;2565053;2863372;3195748;3627836;3827639;3872255;3879791;3967209;4078590;4255305;4307615;4536126
"Personinntekt lønn og pensjon";"46 Vestland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11341966;11745985
"Personinntekt lønn og pensjon";"12 Hordaland (-2019)";3157765;3377366;3702349;4327660;4516473;4658957;5152097;5784937;6535325;6809665;6968702;7080240;6797876;7017808;7256062;0;0
